Authors;Article Title;DOI
Jahdi K.S., Poldner K., Koehler K.;Ethical Fashion: An Exploratory Research;10.1007/978-3-319-39089-5_12
Jain T., Jain J.K., Agrawal R., Johri S.;Investigation of environmental potentials on supply chain of textile and yarn industry using smart and sustainable life cycle assessment;10.1108/MEQ-03-2022-0062
Jajja M.S.S., Asif M., Montabon F., Chatha K.A.;The indirect effect of social responsibility standards on organizational performance in apparel supply chains: A developing country perspective;10.1016/j.tre.2020.101968
Jamil G.L., Jamil C.C.;Information and knowledge management perspective contributions for fashion studies: Observing logistics and supply chain management processes;10.4018/978-1-5225-3432-7.ch014
Jana P., Tiwari M.;Lean Tools in Apparel Manufacturing: A volume in The Textile Institute Book Series;10.1016/B978-0-12-819426-3.00018-7
Jana P.;Lean supply chain management;10.1016/B978-0-12-819426-3.00015-1
Janeiro R., Pereira M.T., Ferreira L.P., Sá J.C., Silva F.J.G.;New conceptual model of reverse logistics of a worldwide fashion company;10.1016/j.promfg.2020.10.232
Javed H., Firdousi S.F., Murad M., Jiatong W., Abrar M.;Exploring disposition decision for sustainable reverse logistics in the era of a circular economy: Applying the triple bottom line approach in the manufacturing industry;10.22034/IJSOM.2021.1.5
Jayasinghe M., Hunter L.W.;The Impact of Suppliers’ Adoption of Voluntary Labour Codes/Certifications on Job Quality in Global Supply Chains: The Sri Lankan Case of Garments without Guilt;10.1111/bjir.12538
Jenkins J., Blyton P.;In debt to the time-bank: the manipulation of working time in Indian garment factories and ‘working dead horse’;10.1177/0950017016664679
Jermsittiparsert K., Somjai S., Chienwattanasook K.;Era of Industry 4.0 Technologies and Environmental Performance of Thailand’s Garment Industry: Role of Lean Manufacturing and Green Supply Chain Management Practices;10.1108/978-1-80043-380-920201016
Jermsittiparsert K., Kraimak S., Boonratanakittiphumi C.;Does the industry 4.0 have any impact on the relationship between agile strategic supply chain and the supply chain partners performance;
Jianheng Z., Liujie C.;Brand′s franchise decision in the presence of demand uncertainty and market competition [基于需求不确定和市场竞争的品牌商加盟决策研究];10.13587/j.cnki.jieem.2022.03.012
Jin P., Xue Z., Jiang R., Zhang C., Xu H.;Design and implementation of blockchain technology-based clothing traceability system [基于区块链技术的服装可追溯系统设计与实现];10.3969/j.issn.1001-7003.2021.05.010
Jinbo W.;THE CHINA-CENTRAL ASIA-WEST ASIA ECONOMIC CORRIDOR;10.4324/9780429203039-38
Johnson S., Echeverria D., Venditti R., Jameel H., Yao Y.;Supply chain of waste cotton recycling and reuse: A review;10.14504/ajr.7.S1.3
Jongprasithporn M., Yodpijit N., Phaisanthanaphark C., Buranasing Y., Sittiwanchai T.;Effects of Industry 4.0 on Human Factors/Ergonomics Design in 21st Century;10.1007/978-3-030-51194-4_57
Joshi P., Tyagi R.K., Agarwal K.M.;Technological resources for fighting COVID-19 pandemic health issues;10.1142/S2424862221500196
Joyce J., McAllen D., Haddud A.;A study of factors in the U.S. automotive industry that influence use and procurement outcomes for electronic supply chain management (eSCM);10.23919/PICMET.2019.8893867
Juarez-Rojas L., Alvarez-Risco A., Campos-Dávalos N., de las Mercedes Anderson-Seminario M., Del-Aguila-Arcentales S.;Water Footprint in the Textile and Food Supply Chain Management: Trends to Become Circular and Sustainable;10.1007/978-981-19-0549-0_11
Jung E., Shin S., Jung E.J.;Building competitive capabilities for the textile industry: Case of Korean firms;10.1504/IJSOM.2021.120061
Kacani J.;Towards knowledge-based flexibility for manufacturing enterprises: With a case study;10.1504/IJIE.2017.087626
Kaltenborn M., Neset C., Norpoth J.;Implementation of the H&M Global Framework Agreement in Cambodia: Producing Outcomes for Industrial Democracy despite a Challenging Context?;
Kalyar M.N., Shoukat A., Shafique I.;Enhancing firms’ environmental performance and financial performance through green supply chain management practices and institutional pressures;10.1108/SAMPJ-02-2019-0047
Kamal Y.;Stakeholders’ perceptions of social audit in Bangladesh;10.1108/S1479-359820180000007001
Kamann D.-J.F., Alfaro J.A., Sebrek S.S.;28 years of traceability management: Trends, bottlenecks and opportunities;10.1504/IJPM.2019.096997
Kamble Z., Behera B.K.;Upcycling textile wastes: challenges and innovations;10.1080/00405167.2021.1986965
Kampakaki E., Papahristou E.;Digital intelligence as prerequisite of artificial intelligence's integration in the clothing industry 4.0;
Kanakala S., Prashanthi V.;Covid-19 Spread Analysis;10.1007/978-981-16-1502-3_5
Karami S., Ghasemy Yaghin R., Mousazadegan F.;Supplier selection and evaluation in the garment supply chain: an integrated DEA–PCA–VIKOR approach;10.1080/00405000.2020.1768771
Karaoglu E.O., Candan C., Guven B., Inan G.;Fast-fashion: Fast enough to satisfy adolescent girls’ expectations from their clothing;10.1007/978-3-319-98038-6_6
Karaosman H., Morales-Alonso G., Brun A.;From a systematic literature review to a classification framework: Sustainability integration in fashion operations;10.3390/su9010030
Kashansky V., Saurabh N., Prodan R., Validi A., Olaverri-Monreal C., Burian R., Burian G., Hirsch D., Lv Y., Wang F.-Y., Zuhge H.;The ADAPT project: Adaptive and autonomous data performance connectivity and decentralized transport network;10.1145/3462203.3475880
Kaur J., Azmi A., Majid R.A.;STRATEGIC DIRECTION OF INFORMATION TECHNOLOGY ON SUSTAINABLE SUPPLY CHAIN PRACTICES: EXPLORATORY CASE STUDY ON FASHION INDUSTRY IN MALAYSIA;10.33736/ijbs.4628.2022
Kaur J., Singh G.;Cool Branding for Indian Sustainable Fashion Brands;10.4324/9781003188186-5
Kazancoglu I., Kazancoglu Y., Kahraman A., Yarimoglu E., Soni G.;Investigating barriers to circular supply chain in the textile industry from Stakeholders’ perspective;10.1080/13675567.2020.1846694
Kemper M., Gloy Y.-S., Gries T.;The future of textile production in high wage countries;10.1088/1757-899X/254/20/202002
Khairul Akter M.M., Haq U.N., Islam M.M., Uddin M.A.;Textile-apparel manufacturing and material waste management in the circular economy: A conceptual model to achieve sustainable development goal (SDG) 12 for Bangladesh;10.1016/j.cesys.2022.100070
Khalili Nasr A., Tavana M., Alavi B., Mina H.;A novel fuzzy multi-objective circular supplier selection and order allocation model for sustainable closed-loop supply chains;10.1016/j.jclepro.2020.124994
Khaliunaa U., Kalimuthu K.R.;Role of information sharing and green supply chain management on supply chain performance: empirical evidences;
Khan M.A., Zada N., Mukhopadhyay K.;Economic implications of the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP) on Pakistan: a CGE approach;10.1186/s40008-017-0103-x
Khan N.A., Ahmed W., Waseem M.;Factors influencing supply chain agility to enhance export performance: case of export-oriented textile sector;10.1108/RIBS-05-2021-0068
Khan N.A., Ishizaka A., Genovese A.;A framework for evaluating the supply chain performance of apparel manufacturing organizations;10.22034/IJSOM.2021.2.3
Khan R., Richards H.;Fashion in ‘crisis’: consumer activism and brand (ir)responsibility in lockdown;10.1080/09502386.2021.1898028
Khan S.A., Agyemang M., Ishizaka A., Zaman S.I., Ali S.M., Laval J.;Barriers and overcoming strategies to multi-tier sustainable supply chain management: an explorative study in an emerging economy;10.1080/19397038.2021.1986595
Khandaker N.R., Afreen I., Diba D.S., Huq F.B., Akter T.;Treatment of textile wastewater using calcium hypochlorite oxidation followed by waste iron rust aided rapid filtration for color and COD removal for application in resources challenged Bangladesh;10.1016/j.gsd.2020.100342
Khurana K., Ataniyazova Z.;Insights and future forward for fashion and textile value chain in Uzbekistan;10.1108/RJTA-03-2020-0020
Kim M., Lawson J., Hervé R., Jakob H., Ganapathisubramani B., Keevil C.W.;Development of a rapid plasma decontamination system for decontamination and reuse of filtering facepiece respirators;10.1063/5.0067730
Kim N.L., Kim G., Rothenberg L.;Is honesty the best policy? Examining the role of price and production transparency in fashion marketing;10.3390/SU12176800
Kjaer P.F., Vetterlein A.;Regulatory governance: rules, resistance and responsibility;10.1080/13569775.2018.1452527
Kneese T., Palm M.;Brick-and-Platform: Listing Labor in the Digital Vintage Economy;10.1177/2056305120933299
Kosak J.;Sustainable products for a sustainable planet;
Koszewska M., Militki J., Mizsey P., Benda-Prokeinova R.;Comparative analysis of sustainable consumption and production in Visegrad region - Conclusions for textile and clothing sector;10.1088/1757-899X/254/20/202003
Kothakonda A., Atta L., Plana D., Ward F., Davis C., Cramer A., Moran R., Freake J., Tian E., Mazor O., Gorelik P., Van C., Hansen C., Yang H., Li Y., Sinha M.S., Li J., Yu S.H., LeBoeuf N.R., Sorger P.K.;De Novo Powered Air-Purifying Respirator Design and Fabrication for Pandemic Response;10.3389/fbioe.2021.690905
Kovacs I.;Circular fashion from the perspective of young consumers – measurement and managerial relevance [Moda zrównoważonej konsumpcji z perspektywy młodych konsumentów-pomiar i znaczenie menedżerskie];10.17512/pjms.2021.24.2.15
Krause E.L., Bressan M.;Circulating children, underwriting capitalism: Chinese global households and fast fashion in Italy;10.1086/699826
Küçük M., Weber M.O., Bühs C., Muschkiet M.;A comparative analysis of green logistic activities in German and Turkish textile enterprises [Analizǎ comparativǎ a activitǎţilor logistice ecologice în întreprinderile textile din Germania şi Turcia];10.35530/IT.072.01.1681
Kumar A.;A race from the bottom? Lessons from a workers’ struggle at a Bangalore warehouse;10.1177/1024529418815640
Kumar C., Vijayaraghavan T., Chakraborty A., Thompson R.G.;Urban Freight Regulations: How much they cost the consumers?;10.1016/j.trpro.2018.09.040
Kumar D.S.L., Nallusamy S., Ramakrishnan V.;Proposed inventory management model to improve the supply chain efficiency and surplus in textile industry;
Kumar P., Sharma D., Pandey P.;Industry 4.0 (I4.0) Based Virtual Organization Model for the Coordination of Sustainable Textile Supply Chain;10.37625/abr.25.1.186-208
Kumar P., Sharma D., Pandey P.;Coordination mechanisms for digital and sustainable textile supply chain;10.1108/IJPPM-11-2020-0615
Kumar P.S., Prasanth S.M., Harish S., Rishikesh M.;Industrial water footprint: Case study on textile industries;10.1007/978-981-33-4377-1_2
Kumar V., Hallqvist C., Ekwall D.;Developing a framework for traceability implementation in the textile supply chain;10.3390/systems5020033
Kunovjanek M., Wankmüller C.;An analysis of the global additive manufacturing response to the COVID-19 pandemic;10.1108/JMTM-07-2020-0263
Kurnia R., Warsono, Roesminingsih E., Hartono S.;Improvement in performance across the supply chain by market strategic alignment in the textile sector of Indonesia;
Kusi-Sarpong S., Gupta H., Khan S.A., Chiappetta Jabbour C.J., Rehman S.T., Kusi-Sarpong H.;Sustainable supplier selection based on industry 4.0 initiatives within the context of circular economy implementation in supply chain operations;10.1080/09537287.2021.1980906
Kusrini E., Rifai M.A.B., Miranda S.;Performance measurement using supply chain operation reference (SCOR) model: A case study in a small-medium enterprise (SME) in Indonesia;10.1088/1757-899X/697/1/012014
Kusrini E., Caneca V.I., Helia V.N., Miranda S.;Supply Chain Performance Measurement Usng Supply Chain Operation Reference (SCOR) 12.0 Model : A Case Study in A A Leather SME in Indonesia;10.1088/1757-899X/697/1/012023
Kwon H., Chung S.W., Lee J.;South Korean first-tier suppliers in apparel global value chains: Upgrading and labour implications in the Asian context;10.1111/ilr.12212
Laaziz E.H.;AI based forecasting in fast fashion industry: A review;10.1088/1757-899X/827/1/012065
Lahdhiri M., Babay A., Jmali M.;Development of Subcontractor Selection Models Using Fuzzy and AHP Methods in the Apparel Industry Supply Chain;10.2478/aut-2020-0057
Lang L., Liu Z., Hu B.;Optimization decision of cooperative emission reduction of clothing supply chain based on carbon tax;10.1088/1742-6596/1790/1/012092
Laosillapacharoen K., Charoenthitiwong B., Somjai S.;The role of activity-based costing in determining the relationship between relational capability and supply chain cost performance in the textile industry of Indonesia;
Larrañeta E., Dominguez-Robles J., Lamprou D.A.;Additive Manufacturing Can Assist in the Fight against COVID-19 and Other Pandemics and Impact on the Global Supply Chain;10.1089/3dp.2020.0106
Lawal J.;A cut above: A guide to improving due d ligence in garments and footwear supply chains;
Lawreniuk S.;Necrocapitalist networks: COVID-19 and the ‘dark side’ of economic geography;10.1177/2043820620934927
Le T.T., Nguyen T.A., Phan T.T.H., Tran M.D., Phung X.T., Tran T.T., Giao K.N.;Impact of corporate social responsibility on supply chain management and financial performance in vietnamese garment and textile firms;10.5267/j.uscm.2019.4.002
LeBaron G., Edwards R., Hunt T., Sempéré C., Kyritsis P.;The Ineffectiveness of CSR: Understanding Garment Company Commitments to Living Wages in Global Supply Chains;10.1080/13563467.2021.1926954
Leitheiser E.;How domestic contexts shape international private governance: The case of the European Accord and American Alliance in Bangladesh;10.1111/rego.12390
Leonas K.K.;Water risks influencing the future of the textile and apparel industry;
Leung J., Chu S.-C., Cheung W.;A design theory for supply chain visibility in the age of big data;
Lewis T.L., Park H., Netravali A.N., Trejo H.X.;Closing the loop: a scalable zero-waste model for apparel reuse and recycling;10.1080/17543266.2016.1263364
Li G., Wu H., Dai J.;Production Sourcing Strategy for an Apparel Original Brand Manufacturer in the Presence of Technology Spillover;10.1109/TEM.2020.3007209
Li L., Sun P., Lu J.;Distributed manufacturing in knitting industry;10.1109/DTPI52967.2021.9540079
Li M., Hu X.;Can labor-standards advocacy by transnational civil society organizations interact with the power of labor to improve labor standards in global supply chains? A case study of the Cambodian garment industry;10.1177/0143831X211066129
Li Q., Zhang Z., Rao W., Xu W., Jiang L.;Green investment decisions in supply chains: A game model with complete information;10.3390/info10060185
Li X., Hua G., Cheng T.C.E., Choi T.;"What Does Cross-Industry-Production Bring Under COVID-19&#x003F; A Multi-Methodological Study";10.1109/TEM.2022.3147815
Li Y.-Y., Yao L., Li Y.;"""Low-carbon design"" of fashion product modelling";
Liu R., Guo X., Lao T.T., Little T.;A critical review on compression textiles for compression therapy: Textile-based compression interventions for chronic venous insufficiency;10.1177/0040517516646041
Liu X., Mishra A., Goldstein S., Sinha K.K.;Toward improving factory working conditions in developing countries: An empirical analysis of Bangladesh ready-made garment factories;10.1287/msom.2017.0679
Locke H., McIlwraith A., Khalil L., Roll K.;Timberland and the smallholder farmers alliance: Creating a data-driven smallholder cotton supply chain in haiti;10.1093/oso/9780198870708.003.0023
Lohmeyer N., Schüßler E., Helfen M.;"Can solidarity be organized ""from below"" in global supply chains? The case of ExChains [Kann Solidarität ""von unten"" in globalen Zuliefererketten organisiert werden? Der Fall ExChains]";10.3224/indbez.v25i4.02
Lollo N., O'Rourke D.;Factory benefits to paying workers more: The critical role of compensation systems in apparel manufacturing;10.1371/journal.pone.0227510
Long T.Q.;Brexit and Asian Exports: A Value Chains Perspective;10.1080/1226508X.2020.1792328
Loon L.K., Nawanir G., Bakar Z.A., Hanaysha J.;Strengthening supply chain operational performance through relational and organizational culture capabilities;
Lowe N., Vinodrai T.;The Maker-Manufacturing Nexus as a Place-Connecting Strategy: Implications for Regions Left Behind;10.1080/00130095.2020.1812381
Lu S.;What Will Happen to the US Textile and Apparel Industry if the NAFTA Goes?;10.1177/0973801018754624
Lu X., Jia X., Niu J.;The present situation and prospects of cotton industry development in China;10.3864/j.issn.0578-1752.2018.01.003
Ma H., Qu H.;Reuse model of waste textiles based on block chain technology;10.19333/j.mfkj.20200801106
Ma J., Yang Y., Chen C., Wang J.;Evaluation and case study on information sharing of apparel supply chain;10.19333/j.mfkj.2017030130907
Ma K., Wang L., Chen Y.;A resource sharing mechanism for sustainable production in the garment industry;10.3390/su10010052
Ma K., Wang L., Chen Y.;A collaborative cloud service platform for realizing sustainable make-to-order apparel supply chain;10.3390/su10010011
Maalik Z., Nazam M., Hashim M., Baig S.A., Shabbir R., Hussain Z.;Does a greener supply chain lead to enhance organizational performance? Insights from the textile sector of Pakistan [Un lanț de aprovizionare mai ecologic duce la îmbunătățirea performanței organizaționale? Perspective din sectorul textil din Pakistan];10.35530/IT.073.03.1817
Machek D., Heinz C., Tojo N.;Sustainable supply chain management of clothing industry—current policy landscape and roles and limitation of multi-stakeholder initiatives;10.1007/978-981-15-6779-7_15
Magliano M.J., Perissinotti M.V.;Informal cities: Peruvian migration, textile workshops and urban space in Argentina;10.3280/SL2017-146006
Mahmoudi R., Rasti-Barzoki M.;Sustainable supply chains under government intervention with a real-world case study: An evolutionary game theoretic approach;10.1016/j.cie.2017.12.028
Mai N.T.N., Phong H.T.;Development of questionnaire on supplier selection criteria for textile and apparel industry - A case study in Vietnam;
Mair S., Druckman A., Jackson T.;Fairness and globalisation in the western european clothing supply chain;10.1201/b22382
Majumdar A., Sinha S.;Modeling the barriers of green supply chain management in small and medium enterprises: A case of Indian clothing industry;10.1108/MEQ-12-2017-0176
Manickam P., Duraisamy G.;3Rs and circular economy;10.1016/B978-0-08-102630-4.00004-2
Maralcan A., Ilhan I.;Operations management tools to be applied for textile;10.1088/1757-899X/254/20/202005
Marciniak R., McColl J.;The vintage supply chain: The role of networks;
Mardiana N.;The mediating impact of gender in the relationship of leadership and supply chain management of textile industry in Indonesia;
Marnach S.;Selection criteria for protective garments in cleanrooms and controlled environments;
Marques A.D., Guedes G., Ferreira F.;Competitive strategies in fashion industries: Portuguese footwear industry;10.1088/1757-899X/254/20/202006
Martino G., Fera M., Iannone R., Miranda S.;Supply chain risk assessment in the fashion retail industry: An analytic network process approach;
Mathivathanan D., Mathiyazhagan K., Noorul Haq A., Kaippillil V.;Comparative study on adoption of sustainable supply chain management practices in Indian manufacturing industries;10.1108/JM2-09-2018-0137
Mathiyazhagan K., Ahuja S.;Modelling the sustainable supply chain management practices in Indian industries: A business model using the fuzzy TOPSIS approach;10.1504/IJOR.2021.116252
Maulina E., Natakusumah K.;Determinants of supply chain operational performance;10.5267/j.uscm.2019.8.001
McEwan L.;Investment piece: Co-design strategies to support the emerging designer sector of the New Zealand fashion industry;
McInnis A., Medvedev K.;Age, experience and creative labour: Narratives of creative professionals over age 55 in the New York fashion industry;10.1386/INFS_00054_1
Mehdikhani R., Valmohammadi C.;Strategic collaboration and sustainable supply chain management: The mediating role of internal and external knowledge sharing;10.1108/JEIM-07-2018-0166
Menezes B., Franzoi R., Yaqot M., Sawaly M., Sanfilippo A.;Advanced Analytics for Medical Supply Chain Resilience in Healthcare Systems: An Infection Disease Case;10.1007/978-3-030-98741-1_64
Milewska B.;The Impact of the COVID-19 Pandemic on Supply Chains in the Example of Polish Clothing Companies in the Context of Sustainable Development;10.3390/su14031899
Mishra P., Singh A., Mishra R.R., Ong S., Prasad S.M.;Application of Nanotechnology to Enhance the Nutrient Quality of Food Crops and Agricultural Production;10.1016/B978-0-12-811487-2.00020-7
Mishra P., Shaikh A.;Optimal pricing and ordering policies for an integrated inventory model with stock and price sensitive demand;
Mishra P., Shaikh A.;Optimal ordering policy for an integrated inventory model with stock dependent demand and order linked trade credits for twin ware house system;10.5267/j.uscm.2017.1.004
Moazzem S., Crossin E., Daver F., Wang L.;Baseline scenario of carbon footprint of polyester t-shirt;10.3993/JFBIM00262
Mohammed A.K.K., Kandasamy J., Naik S.V., Kumar M., Sundar S.R.;Development of special purpose silk thread through reverse engineering and yarn geometry for use in engines of battle tanks;10.1080/00405000.2021.1901459
Moktadir M.A., Kumar A., Ali S.M., Paul S.K., Sultana R., Rezaei J.;Critical success factors for a circular economy: Implications for business strategy and the environment;10.1002/bse.2600
Monsalve F., Zafrilla J., Cadarso M.-Á., García-Alaminos A.;Is the emperor wearing new clothes? A social assessment of the European Union 2007–2013 financial framework;10.1080/09535314.2018.1491391
Moradlou H., Backhouse C., Ranganathan R.;Responsiveness, the primary reason behind re-shoring manufacturing activities to the UK: An Indian industry perspective;10.1108/IJPDLM-06-2015-0149
Moser H.;Making it in America―companies reshore manufacturing of essential products;
Mubarik M.S., Naghavi N., Mubarak M.F.;Impact of supplier relational capital on supply chain performance in pakistani textile industry;10.18488/journal.aefr.2019.93.318.328
Mukhrizal F.F., Aziz N.A.B., Akhir E.A.P.;Data governance practice for outbound supply chain management (SCM): A case study of Malaysian textile industry;
Müller J., Hoberg K., Fransoo J.C.;Realizing supply chain agility under time pressure: Ad hoc supply chains during the COVID-19 pandemic;10.1002/joom.1210
Murai D.;The quality of leather products as seen from the user's viewpoint;
Musau E.G.;Antecedents and consequences of integration of supply chain information systems into the textile supply chain. A kenyan textile supply chain perspective;10.4102/jtscm.v15i0.547
Mustafid, Ispriyanti D., Sugito, Hakim A.R.;Multivariate capability indices in inventory control;10.1088/1742-6596/1524/1/012095
Naeem M., Tahir I., Iqbal Z., Shafique H.;Impact of supply chain management strategies and practices in the textile retail sector in Islamabad, Pakistan;10.35940/ijeat.F1039.0986S319
Nakano K.;Screening of climatic impacts on a country’s international supply chains: Japan as a case study;10.1007/s11027-015-9692-6
Nassivera F., Troiano S., Marangon F., Sillani S., Markova Nencheva I.;Willingness to pay for organic cotton: Consumer responsiveness to a corporate social responsibility initiative;10.1108/BFJ-12-2016-0583
Natarajan S., Degamboda S.;Sustainability reporting in tqm adopting apparel companies: A study from Southern India;10.5373/JARDCS/V12SP3/20201376
Nayak R., Van Thang Nguyen L., Panwar T., Jajpura L.;Sustainable technologies and processes adapted by fashion brands;10.1016/B978-0-08-102867-4.00011-6
Nayak R., Padhye R.;Artificial intelligence and its application in the apparel industry;10.1016/B978-0-08-101211-6.00005-7
Nayak R., Padhye R.;Automation in Garment Manufacturing;
Naz F.;The Position of Female Homeworkers in a Global Supply Chain: How Do Capitalist Labor Market Practices Interplay with Gender Ideologies?;10.1007/978-3-319-52099-5_6
Nazeer S., Fuggate P.;Sustainability framework for farm level cotton supply chain management;
Nel A., Chiromo F.;Product characteristics in the clothing and textile companies in Gauteng, South Africa;
Newton L.J.;X-59 life support system design and testing;10.2514/6.2020-3088
Nguyen G.N.T., Mani V., Kha M K., Papadopoulos T.;Supply chain social responsibility in labour- intensive industries: a practitioner’s perspective;10.1080/09537287.2021.1925172
Nguyen T.T.H., Nguyen T.T.T., Phan T.T.H.;The effect of corporate social responsibility on supply chain performance;10.5267/j.uscm.2021.7.008
Nguyen X.H., Doan T.D.U., Hoang V.N.;The impact of global supply chain management on performance: evidence from Textile and garment industry;10.5267/j.uscm.2019.9.003
Niu B., Mu Z., Chen L.;"Small Apparel Retailer&#x0027;s Procurement Outsourcing Under Weather-Related Demand Uncertainty";10.1109/TEM.2021.3077711
Niu B., Chen L., Zhang J.;Punishing or subsidizing? Regulation analysis of sustainable fashion procurement strategies;10.1016/j.tre.2017.09.010
Noerhartati E., Soesatyo Y., Moedjito, Mutohir T.C., Amrozi Khamidi;Determinants of sustainable supply chain performance: The role of corporate entrepreneurship in indecision textile companies;
Nong N.-M.T., Ho P.T.;Criteria for supplier selection in textile and apparel industry: A case study in Vietnam;10.13106/jafeb.2019.vol6.no2.213
Nor Aziati A.H., Man Ling Y., Ahmad M.F., Hazana Abdullah N.;The Influence of Information Technology and Operational Competencies toward Supply Chain Agility: Findings from Textile Manufacturer;10.1088/1742-6596/1049/1/012011
Nugraha A.T., Hakimah Y.;Role of relational capabilities on the supply chain performance of indonesian textile sector with moderating effect of technology adoption;
Nunoo S.;Sustainable Supply Chain Process of the Luxury Kente Textile: Introducing Heritage into the Sustainability Framework;10.1007/978-3-031-06928-4_7
Nurhasanah N., Devana M., Aribowo B., Safitri R., Samiono B., Lutfia C.F., Kalifa P., Fauzia S.W., Supriyanto A.;Analysis of Supply Chain Network of FBS Production in Small and Medium Textile and Textile Product (TTP) Industry;10.1088/1757-899X/528/1/012085
Nurhasanah N., Tanjung W.N., Ripmiatin E., Wulandari S.A., Qibtiyah M., Meliantika;Enhancing competitiveness of ready made garment small-medium enterprises through logistics performance measurement using SCOR method;10.1109/ICIMECE.2016.7910431
O'Connor S., Mathew S., Dave F., Tormey D., Parsons U., Gavin M., Nama P.M., Moran R., Rooney M., McMorrow R., Bartlett J., Pillai S.C.;COVID-19: Rapid prototyping and production of face shields via flat, laser-cut, and 3D-printed models;10.1016/j.rineng.2022.100452
O’Donnell M., Williamson S., Adikaram A., Foley M.;Human resource managers as liaisons between firms and labour;10.1108/ER-11-2017-0281
Oka C.;Brands as labour rights advocates? Potential and limits of brand advocacy in global supply chains;10.1111/beer.12172
O'Kelly E., Arora A., Pirog S., Ward J., Clarkson P.J.;Comparing the fit of N95, KN95, surgical, and cloth face masks and assessing the accuracy of fit checking;10.1371/journal.pone.0245688
Olatayo K.I., Mativenga P.T., Marnewick A.L.;COVID-19 PPE plastic material flows and waste management: Quantification and implications for South Africa;10.1016/j.scitotenv.2021.148190
Organ A., Arman K., Katrancı A.;Evaluation of Criteria that Affect the Sustainability of Smart Supply Chain in a Textile Firm by Fuzzy SWARA Method;10.1007/978-3-030-51156-2_76
Orji I.J., Ojadi F.;Investigating the COVID-19 pandemic's impact on sustainable supplier selection in the Nigerian manufacturing sector;10.1016/j.cie.2021.107588
Orozco-Crespo E., Sablón-Cossío N., Taboada-Rodríguez C.M., Staudt F.H.;Textile sector supply chain: Comprehensive indicator for performance evaluation [Cadena de suministro del sector textil: Indicador integral para la evaluación del desempeño];10.52080/rvgluz.26.e6.35
Pal K., Yasar A.-U.-H.;Semantic approach to data integration for an internet of things supporting apparel supply chain management;10.1016/j.procs.2020.07.030
Pal R., Harper S., Vellesalu A.;Competitive manufacturing for reshoring textile and clothing supply chains to high-cost environment: A Delphi study;10.1108/IJLM-10-2017-0270
Pal R., Sandberg E.;Sustainable value creation through new industrial supply chains in apparel and fashion;10.1088/1757-899X/254/20/202007
Pal R., Aneja A.P.;Ambidexterity drivers of value-creation and appropriation in business models: An explorative study from DuPont;10.1108/RJTA-09-2016-0021
Panigrahi S.S., Rao N.S.;A stakeholders’ perspective on barriers to adopt sustainable practices in MSME supply chain: Issues and challenges in the textile sector;10.1108/RJTA-07-2017-0036
Papahristou E., Bilalis N.;Should the fashion industry confront the sustainability challenge with 3D prototyping technology;10.1080/19397038.2017.1348563
Paras M.K., Ekwall D., Pal R.;Developing a framework for the performance evaluation of sorting and grading firms of used clothing;10.1108/JGOSS-11-2017-0047
Parashar N., Hait S.;Plastics in the time of COVID-19 pandemic: Protector or polluter?;10.1016/j.scitotenv.2020.144274
Park J.;International Actors in Cambodian Labor Politics;10.21588/dns.2021.50.1.008
Pasuhuk J.A.R., Gaol F.;The application of information technology in textile industry and its effects on plant performance;
Patel A., Desai T.N.;Ranking of Barriers for SSCM Implementation in Indian Textile Industries;10.1007/978-981-16-9057-0_26
Patel A., Desai T.N., Anjana R.;Using ism-fuzzy micmac method: Develop enablers' framework of sustainable supply chain management in textile sector;10.36909/jer.ICETET.15003
Patwary S.;Clothing and textile sustainability: Current state of environmental challenges and the ways forward;10.31881/TLR.2020.16
Paulovics A.;THE SOLUTIONS OF TEXTILE BRANDS TO THE INVENTORY PROBLEMS CAUSED BY THE COVID-19 PANDEMIC IN SWITZERLAND;
Pecchia L., Piaggio D., Maccaro A., Formisano C., Iadanza E.;The Inadequacy of Regulatory Frameworks in Time of Crisis and in Low-Resource Settings: Personal Protective Equipment and COVID-19;10.1007/s12553-020-00429-2
Pedemonte R.;The key drivers and impacts of the Chinese government regulatory actions on the textile supply chain;
Perdana Y.R., Dwitasari R., Magdalena M., Yugihartiman M., Kuswati A.S.;The Bottleneck of Distribution in Supply Chain's Manufacturers;10.1109/ICIEA52957.2021.9436726
Pereira das Neves E., Nogueira da Silva D., Paschoarelli L.C., Moreira da Silva F.;Fashion segment and industry 4.0: Brazilian textile and clothing industry – Perspective into the new industrial paradigms;
Perera D., Wickramarachchi R., Abeysekara N., Vidanagamachchi K.;Moving from lean to leagile: A framework to improve supply chain performance of fashion garment manufacturing;
Periyasamy A.P., Duraisamy G.;Carbon footprint on denim manufacturing;10.1007/978-3-319-68255-6_112
Phan T.T.H., Doan X.T., Nguyen T.T.T.;The impact of supply chain practices on performance through supply chain integration in textile and garment industry of Vietnam;10.5267/j.uscm.2019.7.006
Phudetch P., Toomphol A., Jituea N., Homyamyen P.;Innovativeness as an antecedents to firm supply performance: The mediating role of innovation performance and supply chain integration;
Pike K., English B.;And roses too: How “Better Work” facilitates gender empowerment in global supply chains;10.1111/gwao.12740
Pimenta H., Ball P., Salonitis K.;Diffusion of sustainability practices through supplier performance assessment;10.1016/B978-0-12-818115-7.00017-1
